Zahlungsarten,BNPL_Veraenderung
PayPal;Sofortüberweisung;,Ich habe BNPL noch nie genutzt
PayPal;Kreditkarte;,Ich habe BNPL noch nie genutzt
PayPal;Apple Pay;,Ich habe BNPL noch nie genutzt
Rechnung;Kreditkarte;PayPal;,Ich habe BNPL noch nie genutzt
PayPal;Lastschrift;,Ich habe BNPL noch nie genutzt
Rechnung;PayPal;„Buy Now Pay Later“ (z.  B. Klarna);Sofortüberweisung;,Ich nutze BNPL etwa gleich häufig
Kreditkarte;Lastschrift;PayPal;,Ich habe BNPL noch nie genutzt
PayPal;,Ich habe BNPL noch nie genutzt
Rechnung;PayPal;,Ich habe BNPL noch nie genutzt
Kreditkarte;PayPal;,Ich habe BNPL noch nie genutzt
PayPal;Kreditkarte;,Ich habe BNPL noch nie genutzt
Kreditkarte;PayPal;Lastschrift;,Ich habe BNPL noch nie genutzt
Rechnung;PayPal;,Ich habe BNPL noch nie genutzt
PayPal;,Ich habe BNPL noch nie genutzt
Kreditkarte;,Ich habe BNPL noch nie genutzt
Kreditkarte;„Buy Now Pay Later“ (z.  B. Klarna);Sofortüberweisung;,Ich nutze BNPL seltener als früher
Rechnung;PayPal;„Buy Now Pay Later“ (z.  B. Klarna);,Ich nutze BNPL etwa gleich häufig
PayPal;Lastschrift;,Ich habe BNPL noch nie genutzt
Kreditkarte;Sofortüberweisung;„Buy Now Pay Later“ (z.  B. Klarna);,Ich nutze BNPL häufiger als früher
Rechnung;,Ich habe BNPL noch nie genutzt
PayPal;Rechnung;,Ich nutze BNPL seltener als früher
PayPal;Rechnung;Lastschrift;,Ich habe BNPL noch nie genutzt
PayPal;Lastschrift;,Ich habe BNPL noch nie genutzt
Rechnung;Kreditkarte;,Ich habe BNPL noch nie genutzt
Kreditkarte;,Ich habe BNPL noch nie genutzt
PayPal;„Buy Now Pay Later“ (z.  B. Klarna);Lastschrift;,Ich nutze BNPL seltener als früher
PayPal;Lastschrift;,Ich habe BNPL noch nie genutzt
PayPal;Sofortüberweisung;Kryptowährungen;,Ich habe BNPL noch nie genutzt
PayPal;,Ich habe BNPL noch nie genutzt
PayPal;Lastschrift;,Ich habe BNPL noch nie genutzt
Kreditkarte;PayPal;,Ich habe BNPL noch nie genutzt
PayPal;Kreditkarte;Rechnung;,Ich nutze BNPL seltener als früher
Lastschrift;Kreditkarte;,Ich habe BNPL noch nie genutzt
Rechnung;PayPal;Kreditkarte;,Ich nutze BNPL häufiger als früher
PayPal;„Buy Now Pay Later“ (z.  B. Klarna);,Ich nutze BNPL häufiger als früher
PayPal;Lastschrift;,Ich nutze BNPL häufiger als früher
Rechnung;PayPal;Lastschrift;Sofortüberweisung;,Ich nutze BNPL häufiger als früher
Rechnung;PayPal;Lastschrift;Kreditkarte;,Ich habe BNPL noch nie genutzt
PayPal;Apple Pay;,Ich habe BNPL noch nie genutzt
